nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,neck
[0.36811826 0.74199104 0.5870483 ],[0.4045071  0.70601773 0.57949674],[0.41189837 0.6998639  0.7259562 ],[0.49301314 0.7030678  0.3494633 ],[0.5025989  0.695686   0.42015862],[0.5344155  0.71861833 0.24132104],[0.5348568  0.7168919  0.35076353],[0.57125163 0.6815344  0.5112936 ],[0.5745146  0.6888904  0.63266563],[0.6581653 0.6670236 0.6032178],[0.5572778  0.8293674  0.64716285],[0.6424203  0.5319263  0.77830464],[0.67734706 0.7921035  0.537473  ],[0.40820274 0.7029408  0.6527265 ]
[0.37269986 0.74876064 0.4407048 ],[0.41080886 0.70793045 0.44594538],[0.42404577 0.70317453 0.65728605],[0.5127922 0.7035076 0.3641809],[0.52290547 0.7031805  0.40152073],[0.55136144 0.72621226 0.24554895],[0.5563835 0.7258176 0.2509619],[0.57697463 0.6816633  0.49957365],[0.5808769 0.6879574 0.6166113],[0.6667065  0.65841424 0.47228998],[0.5618445  0.82654756 0.59435594],[0.64286166 0.5330365  0.8159027 ],[0.67250603 0.7955281  0.60754097],[0.4174273  0.70555246 0.5516157 ]
[0.3768426  0.75100887 0.5190496 ],[0.40997046 0.71340936 0.48607758],[0.42364734 0.69903946 0.67904377],[0.5074702  0.7108799  0.30269325],[0.517722  0.6994691 0.4159428],[0.5511657  0.7265636  0.25672388],[0.55696255 0.72194284 0.25994107],[0.5753413  0.6851095  0.55980235],[0.5788629  0.6871786  0.64231753],[0.6680405  0.65634394 0.42543417],[0.5649033  0.8275635  0.63032967],[0.6434857  0.535684   0.79728913],[0.6702704  0.79584235 0.6247615 ],[0.4168089  0.70622444 0.58256066]
[0.38463604 0.75213075 0.5348063 ],[0.4102168  0.7105965  0.45106202],[0.42415184 0.70310825 0.6651354 ],[0.5016542  0.7022054  0.35201988],[0.514599   0.7017065  0.39016172],[0.54431456 0.72129524 0.25050223],[0.5486819  0.72355366 0.2622427 ],[0.5786643 0.6835147 0.5411342],[0.5824475  0.68976873 0.62270445],[0.6657878  0.6634324  0.59137434],[0.55546725 0.829725   0.48186177],[0.644698  0.536991  0.8295035],[0.67266315 0.7957866  0.64466125],[0.41718432 0.7068524  0.5580987 ]
[0.385481   0.74976766 0.52300286],[0.41142747 0.7123853  0.5062946 ],[0.42703158 0.70059335 0.69344336],[0.50365734 0.7055208  0.32844493],[0.5208056  0.7018106  0.30753484],[0.5512825  0.72345734 0.2450881 ],[0.5569947  0.7217547  0.25694957],[0.57901305 0.68734527 0.5884652 ],[0.5834243 0.6892263 0.6063031],[0.6692734  0.6566383  0.41420814],[0.55903834 0.83072746 0.48156577],[0.6460218  0.53763413 0.7835042 ],[0.6742112 0.7965411 0.6151231],[0.4192295 0.7064893 0.599869 ]
[0.38739973 0.75034845 0.49911892],[0.40819168 0.7101146  0.40705502],[0.428415  0.7022752 0.7154924],[0.49718875 0.702126   0.3199162 ],[0.5174888  0.7030908  0.34260115],[0.54316366 0.7207577  0.23684336],[0.5571074  0.7250953  0.24549045],[0.5758761  0.68561596 0.5762547 ],[0.58094144 0.6912729  0.63270026],[0.6657635 0.6629795 0.5816212],[0.5655998  0.83006406 0.6565573 ],[0.64605963 0.53660667 0.8132652 ],[0.67273045 0.79733205 0.6409077 ],[0.41830334 0.7061949  0.5612737 ]
[0.379178   0.74627006 0.58674765],[0.41183716 0.7054527  0.6088217 ],[0.4193164 0.6970474 0.6321163],[0.49460322 0.70312285 0.35702294],[0.5080887  0.6982579  0.41488016],[0.5427343  0.72119653 0.28274676],[0.5498291  0.7203243  0.32464823],[0.5771451 0.6814663 0.4958513],[0.58199704 0.68787116 0.5969858 ],[0.66114575 0.66311777 0.54423356],[0.5613554  0.82833576 0.58682925],[0.6426729  0.5363188  0.75902146],[0.67456615 0.79367054 0.58744776],[0.4155768 0.7012501 0.620469 ]
[0.3733961 0.7337456 0.4425223],[0.40025192 0.6971655  0.60880435],[0.41411087 0.69094604 0.6580176 ],[0.48507103 0.68483055 0.31200978],[0.48883557 0.6783397  0.42897943],[0.5299872  0.71375597 0.36524105],[0.5363058  0.70964    0.47116524],[0.563704   0.67473835 0.69619775],[0.567803   0.6778685  0.68382406],[0.65230465 0.65508235 0.539486  ],[0.5555986 0.8191891 0.7270326],[0.637677   0.53251517 0.77338725],[0.6770226 0.7894928 0.5745772],[0.40718138 0.6940558  0.63341093]
[0.36410937 0.7258188  0.45798233],[0.3924243  0.69708    0.58650815],[0.40463433 0.6833153  0.7217207 ],[0.48519063 0.6854435  0.3192711 ],[0.48574096 0.67386144 0.42149323],[0.5269538 0.713135  0.411389 ],[0.53147346 0.70814264 0.4923661 ],[0.55767024 0.6733984  0.71719927],[0.55942726 0.67136323 0.70277905],[0.64018   0.656297  0.6293506],[0.5528344  0.81392145 0.49677217],[0.64006597 0.5332275  0.8202906 ],[0.6802284  0.78853625 0.5441468 ],[0.3985293  0.69019765 0.6541144 ]
[0.3395328 0.711533  0.5647954],[0.37590265 0.6827659  0.67319983],[0.3826298  0.6733563  0.74936706],[0.46189594 0.6648114  0.3696558 ],[0.46281195 0.6546065  0.59446746],[0.5129041  0.69652164 0.43856728],[0.51927453 0.6914813  0.49228272],[0.549641  0.6594575 0.7038199],[0.5488323  0.6660738  0.69429713],[0.63480824 0.6562778  0.7719285 ],[0.5512134  0.80489933 0.6719196 ],[0.6374414  0.52879584 0.70874333],[0.68216264 0.7846887  0.6566459 ],[0.37926623 0.6780611  0.71128345]
